keyword,result_order,year,pdf,html,book,edu,org,com,other_domain,exact_keyword_title,all_word,citation#,title_length,occurences_title,occurrences_summary,colon,doc,survey,tutorial,review,position_k,position_d,vector_t,vector_s,label
data mining,1,1999.0,True,False,False,True,False,False,False,True,True,620.0,8,1.0,0.0,False,True,True,False,False,0.35,0.1,"['a', 'survey', 'of', 'data', 'mining', 'and', 'knowledge', 'discovery', 'software', 'tools']","['Knowledge', 'discovery', 'in', 'databases', 'is', 'a', 'rapidly', 'growing', 'field,', 'whose', 'development', 'is', 'driven', 'by', 'strong', 'research', 'interests', 'as', 'well', 'as', 'urgent', 'practical,', 'social,', 'and', 'economical', 'needs.', 'While', 'the', 'last', 'few', 'years', 'knowledge', 'discovery', 'tools', 'have', 'been', 'used', 'mainly', 'in', 'research', '??]",1
data mining,2,2013.0,True,False,False,False,False,False,True,True,True,473.0,7,1.0,0.0,False,True,True,False,False,0.5,0.222222222,"['[pdf][pdf]', 'a', 'survey', 'on', 'data', 'mining', 'approaches', 'for', 'healthcare']","['Data', 'Mining', 'is', 'one', 'of', 'the', 'most', 'motivating', 'area', 'of', 'research', 'that', 'is', 'become', 'increasingly', 'popular', 'in', 'health', 'organization.', 'Data', 'Mining', 'plays', 'an', 'important', 'role', 'for', 'uncovering', 'new', 'trends', 'in', 'healthcare', 'organization', 'which', 'in', 'turn', 'helpful', 'for', 'all', 'the', 'parties', 'associated', 'with', 'this', '??]",-1
data mining,3,2006.0,True,False,False,False,False,False,True,True,True,4111.0,5,1.0,0.0,False,True,True,False,False,0.642857143,0.142857143,"['a', 'survey', 'of', 'clustering', 'data', 'mining', 'techniques']","['Clustering', 'is', 'the', 'division', 'of', 'data', 'into', 'groups', 'of', 'similar', 'objects.', 'In', 'clustering,', 'some', 'details', 'are', 'disregarded', 'in', 'exchange', 'for', 'data', 'simplification.', 'Clustering', 'can', 'be', 'viewed', 'as', 'a', 'data', 'modeling', 'technique', 'that', 'provides', 'for', 'concise', 'summaries', 'of', 'the', 'data.', 'Clustering', 'is', 'therefore', '??]",0
data mining,4,2002.0,True,False,False,False,False,False,True,True,True,887.0,6,1.0,1.0,True,True,True,False,False,0.0625,0.875,"['data', 'mining', 'in', 'soft', 'computing', 'framework:', 'a', 'survey']","['The', 'present', 'article', 'provides', 'a', 'survey', 'of', 'the', 'available', 'literature', 'on', 'data', 'mining', 'using', 'soft', 'computing.', 'A', 'categorization', 'has', 'been', 'provided', 'based', 'on', 'the', 'different', 'soft', 'computing', 'tools', 'and', 'their', 'hybridizations', 'used,', 'the', 'data', 'mining', 'function', 'implemented,', 'and', 'the', 'preference', '??]",0
data mining,5,2012.0,True,False,False,False,True,False,False,True,True,297.0,7,1.0,0.5,False,True,True,False,False,0.388888889,0.111111111,"['the', 'survey', 'of', 'data', 'mining', 'applications', 'and', 'feature', 'scope']","['In', 'this', 'paper', 'we', 'have', 'focused', 'a', 'variety', 'of', 'techniques,', 'approaches', 'and', 'different', 'areas', 'of', 'the', 'research', 'which', 'are', 'helpful', 'and', 'marked', 'as', 'the', 'important', 'field', 'of', 'data', 'mining', 'Technologies.', 'As', 'we', 'are', 'aware', 'that', 'many', 'Multinational', 'companies', 'and', 'large', 'organizations', 'are', 'operated', '??]",1
data mining,6,2007.0,True,False,False,True,False,False,False,True,False,1965.0,7,1.0,1.5,True,True,True,False,False,0.111111111,0.444444444,"['educational', 'data', 'mining:', 'a', 'survey', 'from', '1995', 'to', '2005']","['Currently', 'there', 'is', 'an', 'increasing', 'interest', 'in', 'data', 'mining', 'and', 'educational', 'systems,', 'making', 'educational', 'data', 'mining', 'as', 'a', 'new', 'growing', 'research', 'community.', 'This', 'paper', 'surveys', 'the', 'application', 'of', 'data', 'mining', 'to', 'traditional', 'educational', 'systems,', 'particular', 'web-based', 'courses', '??]",0
data mining,7,2010.0,True,False,False,False,True,False,False,True,False,913.0,7,1.0,0.0,False,True,True,False,False,0.444444444,0.222222222,"['a', 'comprehensive', 'survey', 'of', 'data', 'mining-based', 'fraud', 'detection', 'research']","['This', 'survey', 'paper', 'categorises,', 'compares,', 'and', 'summarises', 'from', 'almost', 'all', 'published', 'technical', 'and', 'review', 'articles', 'in', 'automated', 'fraud', 'detection', 'within', 'the', 'last', '10', 'years.', 'It', 'defines', 'the', 'professional', 'fraudster,', 'formalises', 'the', 'main', 'types', 'and', 'subtypes', 'of', 'known', 'fraud,', 'and', '??]",0
data mining,8,2006.0,True,False,False,False,False,False,True,True,True,448.0,4,1.0,0.5,False,True,True,False,False,0.75,0.166666667,"['a', 'survey', 'of', 'temporal', 'data', 'mining']","['Data', 'mining', 'is', 'concerned', 'with', 'analysing', 'large', 'volumes', 'of', '(often', 'unstructured)', 'data', 'to', 'automatically', 'discover', 'interesting', 'regularities', 'or', 'relationships', 'which', 'in', 'turn', 'lead', 'to', 'better', 'understanding', 'of', 'the', 'underlying', 'processes.', 'The', 'field', 'of', 'temporal', 'data', 'mining', 'is', 'concerned', '??]",0
data mining,9,2009.0,True,False,False,True,False,False,False,True,True,138.0,7,1.0,0.5,False,True,True,False,False,0.388888889,0.111111111,"['a', 'survey', 'of', 'data', 'mining', 'techniques', 'applied', 'to', 'agriculture']","['In', 'this', 'survey', 'we', 'present', 'some', 'of', 'the', 'most', 'used', 'data', 'mining', 'techniques', 'in', 'the', 'field', 'of', 'agriculture.', 'Some', 'of', 'these', 'techniques,', 'such', 'as', 'the', 'k-means,', 'the', 'k', 'nearest', 'neighbor,', 'artificial', 'neural', 'networks', 'and', 'support', 'vector', 'machines,', 'are', 'discussed', 'and', 'an', 'application', 'in', '??]",-1
data mining,10,2000.0,True,False,False,True,False,False,False,True,True,467.0,5,1.0,0.5,True,True,True,True,False,0.071428571,0.714285714,"['data', 'mining', 'for', 'hypertext:', 'a', 'tutorial', 'survey']","['With', 'over', '800', 'million', 'pages', 'covering', 'most', 'areas', 'of', 'human', 'endeavor,', 'the', 'World-wide', 'Web', 'is', 'a', 'fertile', 'ground', 'for', 'data', 'mining', 'research', 'to', 'make', 'a', 'difference', 'to', 'the', 'effectiveness', 'of', 'information', 'search.', 'Today,', 'Web', 'surfers', 'access', 'the', 'Web', 'through', 'two', 'dominant', 'interfaces', '??]",0
data mining,1,2017.0,False,False,False,False,False,False,False,True,False,713.0,3,1.0,1.0,True,True,False,True,False,0.0,0.463515633,"['data', 'mining:', 'a', 'tutorial-based', 'primer']","['Data', 'Mining:', 'A', 'Tutorial-Based', 'Primer,', 'Second', 'Edition', 'provides', 'a', 'comprehensive', 'introduction', 'to', 'data', 'mining', 'with', 'a', 'focus', 'on', 'model', 'building', 'and', 'testing,', 'as', 'well', 'as', 'on', 'interpreting', 'and', 'validating', 'results.', 'The', 'text', 'guides', 'students', 'to', 'understand', 'how', 'data', 'mining', '??]",1
data mining,2,2008.0,True,False,False,True,False,False,False,True,True,1407.0,9,1.0,1.0,True,True,False,True,False,0.045454545,0.909090909,"['data', 'mining', 'in', 'course', 'management', 'systems:', 'moodle', 'case', 'study', 'and', 'tutorial']","['Educational', 'data', 'mining', 'is', 'an', 'emerging', 'discipline,', 'concerned', 'with', 'developing', 'methods', 'for', 'exploring', 'the', 'unique', 'types', 'of', 'data', 'that', 'come', 'from', 'the', 'educational', 'context.', 'This', 'work', 'is', 'a', 'survey', 'of', 'the', 'specific', 'application', 'of', 'data', 'mining', 'in', 'learning', 'management', 'systems', 'and', 'a', '??]",-1
data mining,3,2000.0,True,False,False,True,False,False,False,True,True,467.0,5,1.0,0.5,True,True,True,True,False,0.071428571,0.714285714,"['data', 'mining', 'for', 'hypertext:', 'a', 'tutorial', 'survey']","['With', 'over', '800', 'million', 'pages', 'covering', 'most', 'areas', 'of', 'human', 'endeavor,', 'the', 'World-wide', 'Web', 'is', 'a', 'fertile', 'ground', 'for', 'data', 'mining', 'research', 'to', 'make', 'a', 'difference', 'to', 'the', 'effectiveness', 'of', 'information', 'search.', 'Today,', 'Web', 'surfers', 'access', 'the', 'Web', 'through', 'two', 'dominant', 'interfaces', '??]",0
